question,answer
Для яких типів ТЗ використовується режим «Таксі» (з метою надання платних послуг з перевезення пасажирів та/або вантажів)?,"Режим «Таксі» використовується для всіх типів, крім: C1 вант. автомобілі вантажопідйомністю до 2 тон C2 вант. автомобілі вантажопідйомністю понад 2 тони D2 автобуси з кіл.місць для сидіння більше 20 чоловік D3 трамваї D4 тролейбуси E причепи до вантажних автомобілів G1 трактори G2 с/г техніка G3 причепи до с/г техніки H1 авто-кран, пожежна, авто-вишка, техніка для транспортування сміття, прибиральна техніка, тощо H2 дорожно - будівельна техніка H3 спеціалізована військова техніка По зазначеним ТЗ на друк полісу ОСЦПВ виводиться: Додаткові відомості, що мають істотне значення для оцінки страхового ризику «13.1. Сфера використання ЗТЗ - може використовуватись з метою надання платних послуг з перевезення пасажирів та/або вантажів» - «ТАК» Обмеження щодо умов використання ЗТЗ, встановлені Договором «14.1. ЗТЗ не використовується з метою надання платних послуг з перевезення пасажирів та/або вантажів» – «Не застосовується»"
Як визначати Бонус-Малус?,"Клас бонус-малус обов’язково зменшується (застосовується підвищуючий коефіцієнт до страхового платежу) за наявності страхових випадків, які виникли протягом 1 року, що передує даті оформлення Полісу при наявності вини Страхувальника чи іншої, особи відповідальність якої була застрахована. При розгляді рішення про надання надбавки враховуються випадки,  по яким вже було здійснено виплату, так і по яким заявлено збиток, але ще не виплачено страхове відшкодування. Якщо у Страхувальника є декілька забезпечених ТЗ, то аварійність враховується лише тих ТЗ, які були в ДТП з вини Страхувальника або осіб, відповідальність яких була застрахована. При переукладанні договорів на парк ТЗ, обов’язково застосовується підвищувальний коефіцієнт, з присвоєнням Страхувальнику більш низького класу, для тих ТЗ, за участю яких відбулись страхові випадки. Послідовність присвоєння класу іншого ніж 3, наведена в таблиці нижче."
Чи визначає 1С автоматично показник Бонус-Малус?,"Ні, працівники ПАТ «УСГ» повинні перевіряти історію страхування та самостійно визначати показник Бонус-Малус, як це було раніше."
"Яку програму потрібно використати, якщо у клієнта наявні сплачені та заявлені збитки за попередній період страхування в ПАТ «СК «УСГ» по ОСЦПВ щодо ТЗ, який пролонгують?",В такому разі слід використати стандартну програму страхування з відповідним показником Бонус-Малус.
"Що робити, якщо не відображаються індивідуальні програми?","Рекомендуємо зберегти чернетку, перевибрати страхувальника або закрити/відкрити поліс."
Пояснення щодо спірних типів ТЗ по категоріям.,"Пікапи, фургони (Citroen Berlingo, Fiat Doblo Cargo, Renault Kangoo, Volkswagen Caddy тощо) - транспортні засоби на базі шасі легкового ТЗ, але які згідно законодавства України відносяться до вантажних ТЗ (в технічному паспорті вписано «вантажний» - підлягають страхування за типом С через відсутність ознак пасажирського Т3). Мінібуси (міні мікроавтобуси) (Mercedes-Benz Vito, Opel Vivaro, Renault Trafic, Volkswagen Transporter тощо) - транспортні засоби в пасажирській комплектації яких заводом-виробником передбачено не більше 8 пасажирських місць, але які згідно законодавства України відносяться до «вантажних» або «вантажо-пасажирських» ТЗ (підлягають страхування за типом С). Пасажирська комплектація таких ТЗ підлягає страхуванню за відповідним типом легкового ТЗ - В. Мікроавтобуси (Hyundai Н-350, Mercedes-Benz Sprinter, Opel Movano, Peugeot Boxer, Renault Master, Volkswagen Crafter тощо) - транспортні засоби в пасажирській комплектації яких заводом-виробником передбачено 9 + пасажирських місць, та які згідно законодавства України відносяться до «вантажних» або «вантажо-пасажирських» ТЗ - страхуються за відповідним типом вантажного ТЗ - С, а пасажирська комплектація таких ТЗ підлягає страхуванню за відповідним типом автобуса - D. Гібриди (Honda CR-Z, Lexus RX400, Toyota Prius тощо) - транспортний засіб, який окрім звичайного двигуна внутрішнього згорання містить ще й електродвигун - страхуються аналогічно транспортним засобам з двигуном внутрішнього згорання (легкові - від об’єму двигуна; вантажні - від вантажопідйомності; автобуси - від кількості місць для сидіння)."
"Якщо власник ТЗ юридична особа, а страхувальник фізична, то який використовувати вік?",Вік страхувальника-фізичної особи.
Як визначається Зона страхування (К2)?,Визначається за місцем реєстрації (проживання) власника транспортного засобу (фізичної особи) або за місцезнаходженням юридичної особи відповідно до документа про реєстрацію транспортного засобу.
В яких випадках можна скористатися Європротоколом?,"Європротокол можна оформити лише у випадку контактної ДТП за участі 2-х транспортних засобів, за умови заподіяння шкоди майну виключно у вигляді пошкодження (знищення) транспортного засобу, незаподіяння шкоди життю та здоров’ю фізичних осіб, відсутності у водіїв обох транспортних засобів ознак сп’яніння, впливу лікарських засобів (лікарських препаратів), що знижують увагу та швидкість реакції, а також за умови досягнення згоди таких водіїв щодо обставин скоєння дорожньо-транспортної пригоди. Детальну інструкцію щодо оформлення та інші умови використання Європротоколу дивіться у відео: Окреме пояснення МТСБУ щодо ДТП з причепами:"
"Якщо власник ТЗ помер, то який використовувати вік?","Якщо є правонаступник по Закону, тоді вік такої особи. В іншому випадку - вік страхувальника-фізичної особи."
"Який розмір частки витрат, пов’язаних безпосередньо з укладанням і виконанням договору ОСЦПВ (в старій редакції НВД – норматив на ведення справи)?","Для полісів, укладених до 01.01.2025 р. – 20%; Для полісів, укладених після 01.01.2025 р. – 40%."
"Що означає помилка «Для страхувальника з РНОКПП ""1111111111"" вже існує договір ""111111111"" на ТЗ з VIN ""wwwwwwwwwwwwwwwww"" та номером ТЗ ""НННННННН"", що має пільгу ""назва пільгової категорії""»?",
07.2025р. в ЦБД МТСБУ запрацював функціонал контролю за пільговиками.,"Одна особа не зможе мати одночасно 2 діючих пільгові поліси на різні ТЗ. У разі перетинання строків дії - ЦБД буде віддавати повідомлення про помилку. Важливо! - контроль здійснюється на боці ЦБД МТСБУ (тобто блокування укладення відбувається не в 1С, ОК, а в ЦБД МТСБУ); - 1С, ОК тільки транслює відповідь, отриману від ЦБД МТСБУ і жодним чином не може вплинути на усунення такого блокування."
"Якщо у Вас з’являється помилка «У страхувальника не заповнено код ЄДРПОУ!», то для виправлення помилки слід перевибрати Страхувальника.",
"Якщо у клієнта відсутній КЕП чи виникають проблеми з підписанням, чи можна фізично підписати поліс?","Так, можете роздрукувати поліс та підписати з клієнтом (фізичний підпис + печатка). Підписаний поліс слід завантажити в 1С."
Як перевірити законність полісу з КЕП від УСГ?,Для перевірки можна скористатися наступним веб-сайтом: У разі успішної перевірки буде відображатися наступна інформація:
"Пільговик хоче розірвати поліс та оформити новий поліс зі знижкою. Але база видає помилку, що у пенсіонера вже є поліс зі знижкою. Які кроки в 1С потрібно зробити, щоб обійти проблему?",Створити новий поліс №1 без пільги Розірвати попередній поліс і зарахувати невикористаний платіж на новий поліс №1 без пільги Створити новий поліс №2 з пільгою Розірвати новий поліс №1 без пільги та зарахувати невикористаний платіж на новий поліс №2 з пільгою.
